timer                                        ms      calls
----------------------------------------------------------
cov-build                                  7096          1
  add_string_to_table                         0         85
  addEmitFileName                             0          1
    addEmitFileName                           0          1
      addEmitFileName                         0          1
        addEmitFileName                       0          1
          addEmitFileName                     0          1
            addEmitFileName                   0          1
              addEmitFileName                 0          1
                addEmitFileName               0          1
                  addEmitFileName             0          1
                    addEmitFileName           0          1
  Prepare capture                             1          1
  Running build command                    7040          1
  TUInfo::getPrimarySFRow                     0        129

activity                                     ms      calls
----------------------------------------------------------
cov-build                                  7096          1
add_string_to_table                           0         85
addEmitFileName                               0         10
Prepare capture                               1          1
Running build command                      7040          1
TUInfo::getPrimarySFRow                       0        129
